City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Shelburne,44.0787,-80.2041,68.23,47,72,2.93,CA,broken clouds,2022-06-13 16:29:56
1,Coihaique,-45.5752,-72.0662,43.41,87,75,3.44,CL,broken clouds,2022-06-13 16:29:56
2,Punta Arenas,-53.15,-70.9167,46.51,87,0,10.36,CL,clear sky,2022-06-13 16:29:57
3,Codrington,-38.2667,141.9667,44.55,81,94,8.75,AU,overcast clouds,2022-06-13 16:29:57
4,Hofn,64.2539,-15.2082,51.82,93,100,6.91,IS,light intensity drizzle,2022-06-13 16:29:57
5,Dingle,10.9995,122.6711,77.85,87,100,3.96,PH,heavy intensity rain,2022-06-13 16:29:57
6,San Mateo Del Mar,16.2,-95.0,80.67,76,100,4.59,MX,overcast clouds,2022-06-13 16:29:58
7,Nelson Bay,-32.7167,152.15,45.0,94,0,5.28,AU,clear sky,2022-06-13 16:29:58
8,Cherskiy,68.75,161.3,56.86,38,34,2.48,RU,scattered clouds,2022-06-13 16:29:58
9,Tuktoyaktuk,69.4541,-133.0374,33.8,93,100,9.22,CA,mist,2022-06-13 16:26:04
10,Rikitea,-23.1203,-134.9692,72.86,66,0,12.08,PF,clear sky,2022-06-13 16:29:17
11,Severo-Kurilsk,50.6789,156.125,42.78,95,89,12.71,RU,overcast clouds,2022-06-13 16:29:59
12,Kartaly,53.0522,60.6467,53.74,85,95,8.01,RU,overcast clouds,2022-06-13 16:29:59
13,Kahului,20.8947,-156.47,77.85,75,0,24.16,US,clear sky,2022-06-13 16:29:59
14,Bredasdorp,-34.5322,20.0403,57.88,78,100,5.35,ZA,overcast clouds,2022-06-13 16:30:00
15,Bambous Virieux,-20.3428,57.7575,74.21,68,40,12.66,MU,scattered clouds,2022-06-13 16:30:00
16,Bossangoa,6.4926,17.4552,74.1,86,100,1.92,CF,overcast clouds,2022-06-13 16:30:00
17,Tiksi,71.6872,128.8694,43.92,69,100,1.41,RU,overcast clouds,2022-06-13 16:30:01
18,Bluff,-46.6,168.3333,43.81,81,100,36.89,NZ,light rain,2022-06-13 16:30:01
19,Marsa Matruh,31.3525,27.2453,74.25,76,0,12.3,EG,clear sky,2022-06-13 16:30:02
20,Ushuaia,-54.8,-68.3,42.46,100,75,16.11,AR,broken clouds,2022-06-13 16:30:02
21,Ilulissat,69.2167,-51.1,33.82,86,75,3.44,GL,broken clouds,2022-06-13 16:30:03
22,Atuona,-9.8,-139.0333,77.68,69,76,20.09,PF,broken clouds,2022-06-13 16:26:49
23,Lincoln,40.8,-96.667,91.13,50,0,16.11,US,clear sky,2022-06-13 16:27:28
24,Namibe,-15.1961,12.1522,72.23,78,0,28.77,AO,clear sky,2022-06-13 16:30:04
25,Busselton,-33.65,115.3333,59.09,74,94,9.75,AU,overcast clouds,2022-06-13 16:30:05
26,Mataura,-46.1927,168.8643,43.48,93,99,13.6,NZ,moderate rain,2022-06-13 16:30:06
27,Grand Gaube,-20.0064,57.6608,74.37,68,41,8.01,MU,scattered clouds,2022-06-13 16:30:06
28,Shache,38.4167,77.2406,80.94,30,100,23.55,CN,overcast clouds,2022-06-13 16:30:07
29,Jamestown,42.097,-79.2353,76.51,10,33,5.17,US,scattered clouds,2022-06-13 16:26:05
30,Arraial Do Cabo,-22.9661,-42.0278,71.46,60,40,23.02,BR,scattered clouds,2022-06-13 16:28:23
31,Northam,51.0333,-4.2167,60.39,71,50,7.2,GB,scattered clouds,2022-06-13 16:30:07
32,Lebanon,36.2081,-86.2911,93.18,70,92,11.01,US,overcast clouds,2022-06-13 16:30:04
33,Zyryanovsk,49.7386,84.2719,65.68,76,92,2.48,KZ,overcast clouds,2022-06-13 16:30:08
34,Capinzal,-27.3436,-51.6119,63.39,54,0,2.51,BR,clear sky,2022-06-13 16:30:08
35,Ribeira Grande,38.5167,-28.7,70.2,64,20,14.97,PT,few clouds,2022-06-13 16:30:09
36,Poum,-20.2333,164.0167,73.87,90,100,11.7,NC,moderate rain,2022-06-13 16:30:09
37,Vao,-22.6667,167.4833,71.51,70,100,13.33,NC,light rain,2022-06-13 16:30:09
38,Marsh Harbour,26.5412,-77.0636,82.36,77,87,10.07,BS,light rain,2022-06-13 16:30:10
39,Hermanus,-34.4187,19.2345,56.8,88,100,13.8,ZA,moderate rain,2022-06-13 16:30:10
40,Amod,21.9833,72.9,85.39,72,51,14.0,IN,broken clouds,2022-06-13 16:30:11
41,Cape Town,-33.9258,18.4232,56.26,92,100,11.5,ZA,moderate rain,2022-06-13 16:29:31
42,Barrow,71.2906,-156.7887,30.22,86,20,14.97,US,few clouds,2022-06-13 16:29:55
