City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kolondieba,ML,2022-06-08 20:21:40,11.0882,-6.8926,82.49,55,76,10.38
1,Beyneu,KZ,2022-06-08 20:21:41,45.3167,55.2,74.55,28,8,7.96
2,Teguise,ES,2022-06-08 20:21:41,29.0605,-13.564,68.22,78,20,25.32
3,Masvingo,ZW,2022-06-08 20:21:41,-20.0637,30.8277,49.03,85,0,5.57
4,Tessalit,ML,2022-06-08 20:21:41,20.1986,1.0114,96.01,15,99,9.24
5,Atuona,PF,2022-06-08 20:21:42,-9.8,-139.0333,78.46,74,13,18.92
6,Upernavik,GL,2022-06-08 20:21:42,72.7868,-56.1549,34.34,95,100,9.28
7,Thompson,CA,2022-06-08 20:21:42,55.7435,-97.8558,68.16,40,75,12.66
8,Esil,KZ,2022-06-08 20:21:43,51.9556,66.4042,61.12,46,2,3.69
9,Saldanha,ZA,2022-06-08 20:21:43,-33.0117,17.9442,59.05,89,70,8.55
10,Hithadhoo,MV,2022-06-08 20:21:43,-0.6,73.0833,82.69,73,100,7.2
11,Punta Arenas,CL,2022-06-08 20:21:44,-53.15,-70.9167,39.31,65,75,16.11
12,Qaanaaq,GL,2022-06-08 20:21:44,77.484,-69.3632,31.68,85,91,3.56
13,Nikolskoye,RU,2022-06-08 20:21:44,59.7035,30.7861,60.69,98,100,6.02
14,Kodiak,US,2022-06-08 20:21:44,57.79,-152.4072,60.31,55,0,6.91
15,Ushuaia,AR,2022-06-08 20:21:34,-54.8,-68.3,37.02,93,100,19.57
16,Coruripe,BR,2022-06-08 20:21:45,-10.1256,-36.1756,75.72,86,13,7.67
17,Babanka,UA,2022-06-08 20:21:45,48.7097,30.4483,68.86,58,100,6.33
18,Saint-Philippe,RE,2022-06-08 20:21:45,-21.3585,55.7679,67.59,83,84,11.61
19,Mar Del Plata,AR,2022-06-08 20:21:46,-38.0023,-57.5575,62.1,81,0,5.75
20,Clyde River,CA,2022-06-08 20:21:46,70.4692,-68.5914,34.03,100,100,11.5
21,Porto Velho,BR,2022-06-08 20:16:49,-8.7619,-63.9039,84.25,70,40,5.75
22,Chuy,UY,2022-06-08 20:21:46,-33.6971,-53.4616,60.42,77,40,3.65
23,Muros,ES,2022-06-08 20:21:47,42.7762,-9.0603,68.09,85,100,2.73
24,Rikitea,PF,2022-06-08 20:21:47,-23.1203,-134.9692,72.88,63,97,13.31
25,Huarmey,PE,2022-06-08 20:21:47,-10.0681,-78.1522,68.83,77,93,11.05
26,Rolla,US,2022-06-08 20:21:47,37.9514,-91.7713,73.15,76,75,11.5
27,Barrow,US,2022-06-08 20:21:48,71.2906,-156.7887,26.62,80,100,4.61
28,Falam,MM,2022-06-08 20:21:48,22.9167,93.6833,63.32,98,100,2.39
29,Bluff,NZ,2022-06-08 20:21:48,-46.6,168.3333,39.79,84,90,9.1
30,High Level,CA,2022-06-08 20:20:22,58.5169,-117.136,75.31,33,40,9.22
31,Bowen,AU,2022-06-08 20:21:49,-20.0167,148.2333,58.32,72,35,8.37
32,Hasaki,JP,2022-06-08 20:21:49,35.7333,140.8333,61.2,85,98,13.42
33,Lata,PT,2022-06-08 20:21:49,40.1629,-8.3327,69.08,87,98,4.97
34,Busselton,AU,2022-06-08 20:21:50,-33.65,115.3333,58.8,59,52,16.51
35,Tuktoyaktuk,CA,2022-06-08 20:21:50,69.4541,-133.0374,33.8,75,100,13.8
36,San Jose De Tarros,HN,2022-06-08 20:21:50,15.3,-88.7,79.74,65,100,1.74
37,Amga,RU,2022-06-08 20:21:51,60.8953,131.9608,55.04,66,33,4.65
38,Bengkulu,ID,2022-06-08 20:21:51,-3.8004,102.2655,75.16,92,95,5.68
39,Sobolevo,RU,2022-06-08 20:21:51,54.4299,31.8996,63.5,80,100,5.7
40,Bredasdorp,ZA,2022-06-08 20:21:51,-34.5322,20.0403,61.39,71,2,9.1
41,Verkhnetulomskiy,RU,2022-06-08 20:19:15,68.6073,31.7962,57.33,64,100,7.14
42,Provideniya,RU,2022-06-08 20:21:52,64.3833,-173.3,46.4,52,16,2.15
43,Luba,GQ,2022-06-08 20:21:52,3.4568,8.5547,79.38,81,100,4.25
44,Yar-Sale,RU,2022-06-08 20:21:52,66.8333,70.8333,47.79,54,2,7.25
45,Nyagan,RU,2022-06-08 20:21:53,62.1406,65.3936,54.9,53,100,9.69
46,Kalmunai,LK,2022-06-08 20:21:53,7.4167,81.8167,81.9,72,100,5.41
47,Albany,US,2022-06-08 20:20:30,42.6001,-73.9662,76.23,51,8,3.0
48,Marzuq,YE,2022-06-08 20:22:53,14.4,46.4667,78.78,51,74,6.08
49,Severo-Kurilsk,RU,2022-06-08 20:22:54,50.6789,156.125,43.43,79,100,6.76
50,Kruisfontein,ZA,2022-06-08 20:22:54,-34.0033,24.7314,65.34,33,0,8.72
51,Saint-Pierre,RE,2022-06-08 20:22:54,-21.3393,55.4781,67.91,94,100,6.91
52,Beloha,MG,2022-06-08 20:22:55,-25.1667,45.05,61.34,70,31,5.82
53,Saskylakh,RU,2022-06-08 20:22:55,71.9167,114.0833,52.65,79,69,1.41
54,Goderich,CA,2022-06-08 20:22:55,43.7501,-81.7165,59.92,72,100,6.91
55,Vila Franca Do Campo,PT,2022-06-08 20:22:56,37.7167,-25.4333,73.2,81,31,6.31
56,Kapaa,US,2022-06-08 20:22:56,22.0752,-159.319,83.12,73,0,8.05
57,Snasa,NO,2022-06-08 20:22:56,64.2457,12.3778,51.21,74,100,4.12
58,Port Alfred,ZA,2022-06-08 20:22:56,-33.5906,26.891,68.5,41,0,9.08
59,Strezhevoy,RU,2022-06-08 20:22:57,60.7333,77.5889,51.15,66,100,8.63
60,Ribeira Grande,PT,2022-06-08 20:22:57,38.5167,-28.7,66.6,94,75,9.22
61,Iqaluit,CA,2022-06-08 20:22:57,63.7506,-68.5145,49.73,53,20,3.44
62,Alice Springs,AU,2022-06-08 20:22:58,-23.7,133.8833,35.15,93,1,0.0
63,Kahului,US,2022-06-08 20:20:15,20.8947,-156.47,86.02,60,40,16.11
64,Teguldet,RU,2022-06-08 20:22:58,57.3064,88.1667,37.69,92,6,2.53
65,Meulaboh,ID,2022-06-08 20:22:58,4.1363,96.1285,76.42,92,100,4.56
66,Vaini,TO,2022-06-08 20:22:59,-21.2,-175.2,75.36,78,20,6.91
67,Portland,US,2022-06-08 20:21:37,45.5234,-122.6762,74.32,49,75,8.05
68,Ketchikan,US,2022-06-08 20:22:59,55.3422,-131.6461,61.27,63,75,23.02
69,Jalu,LY,2022-06-08 20:22:59,29.0331,21.5482,86.45,28,0,14.16
70,Ilulissat,GL,2022-06-08 20:23:00,69.2167,-51.1,42.82,56,75,6.91
71,Acarau,BR,2022-06-08 20:23:00,-2.8856,-40.12,79.29,80,38,11.88
72,Tasiilaq,GL,2022-06-08 20:23:00,65.6145,-37.6368,41.16,73,10,2.75
73,Luderitz,NA,2022-06-08 20:23:00,-26.6481,15.1594,62.47,52,0,7.25
74,Huilong,CN,2022-06-08 20:23:01,31.8111,121.655,68.94,89,99,13.31
75,Te Anau,NZ,2022-06-08 20:23:01,-45.4167,167.7167,42.67,95,86,2.64
76,Fairbanks,US,2022-06-08 20:20:03,64.8378,-147.7164,63.61,39,40,16.11
77,Cape Town,ZA,2022-06-08 20:22:16,-33.9258,18.4232,63.12,82,0,8.05
78,Ternate,ID,2022-06-08 20:23:02,0.8,127.4,79.3,81,25,4.65
79,Mahebourg,MU,2022-06-08 20:23:02,-20.4081,57.7,71.89,83,40,3.44
80,Karratha,AU,2022-06-08 20:23:02,-20.7377,116.8463,71.94,51,100,12.55
81,East London,ZA,2022-06-08 20:20:13,-33.0153,27.9116,66.38,43,0,5.82
82,Faanui,PF,2022-06-08 20:23:02,-16.4833,-151.75,80.8,70,0,10.54
83,Gordeyevka,RU,2022-06-08 20:23:03,52.9569,31.9703,62.6,79,54,5.21
84,Airai,TL,2022-06-08 20:23:03,-8.9266,125.4092,59.38,96,63,2.93
85,Moron,AR,2022-06-08 20:23:03,-34.6534,-58.6198,55.29,56,0,2.1
86,Ostrovnoy,RU,2022-06-08 20:23:04,68.0531,39.5131,54.21,60,62,13.98
87,Manzil Salim,TN,2022-06-08 20:23:04,35.8567,8.4765,80.65,22,100,6.44
88,Tikrit,IQ,2022-06-08 20:23:04,34.6071,43.6782,91.58,16,0,7.85
89,Kinsale,IE,2022-06-08 20:23:05,51.7075,-8.5306,58.37,67,75,11.5
90,Rabo De Peixe,PT,2022-06-08 20:23:05,37.8,-25.5833,72.28,90,75,6.91
91,Kondinskoye,RU,2022-06-08 20:23:05,59.6481,67.41,53.49,96,100,13.15
92,Padang,ID,2022-06-08 20:23:05,-0.9492,100.3543,75.81,89,100,4.05
93,Kobelyaky,UA,2022-06-08 20:23:06,49.1489,34.1965,67.71,64,84,5.95
94,Alberton,CA,2022-06-08 20:23:06,46.8168,-64.0654,62.73,92,100,11.59
95,Tastur,TN,2022-06-08 20:24:06,36.5513,9.4431,83.03,26,100,3.13
96,Paramonga,PE,2022-06-08 20:24:07,-10.6667,-77.8333,67.55,78,53,9.71
97,Puerto Ayora,EC,2022-06-08 20:24:07,-0.7393,-90.3518,76.96,87,48,7.0
98,Pervomayskoye,RU,2022-06-08 20:24:07,43.919,46.7102,63.1,66,7,7.23
99,Puri,IN,2022-06-08 20:24:08,19.8,85.85,86.52,91,99,17.56
100,Jamestown,US,2022-06-08 20:24:08,42.097,-79.2353,72.05,45,40,1.01
101,New Norfolk,AU,2022-06-08 20:24:08,-42.7826,147.0587,45.9,76,73,5.01
102,Yumen,CN,2022-06-08 20:24:08,40.2833,97.2,65.05,16,9,5.84
103,Carnarvon,AU,2022-06-08 20:24:09,-24.8667,113.6333,66.07,86,83,12.64
104,Baker City,US,2022-06-08 20:24:09,44.7749,-117.8344,69.51,63,40,11.5
105,Butaritari,KI,2022-06-08 20:24:09,3.0707,172.7902,81.55,75,89,11.23
106,Naantali,FI,2022-06-08 20:24:10,60.4674,22.0243,56.32,88,0,6.91
107,Yellowknife,CA,2022-06-08 20:24:10,62.456,-114.3525,73.92,31,20,12.66
108,Hilo,US,2022-06-08 20:24:10,19.7297,-155.09,86.29,77,75,8.01
109,Verkhnevilyuysk,RU,2022-06-08 20:24:11,63.4453,120.3167,56.95,94,99,4.16
110,Touros,BR,2022-06-08 20:24:11,-5.1989,-35.4608,79.36,80,8,10.0
111,Basoko,CD,2022-06-08 20:24:11,1.2391,23.616,71.82,84,99,2.95
112,Exu,BR,2022-06-08 20:24:12,-7.5119,-39.7242,74.82,75,100,4.29
113,Kanniyakumari,IN,2022-06-08 20:24:12,8.0833,77.5667,79.65,84,70,18.66
114,Mwaro,BI,2022-06-08 20:24:12,-3.5,29.6667,57.67,81,100,2.57
115,Diapaga,BF,2022-06-08 20:24:13,12.0708,1.7889,89.64,35,75,7.65
116,Zhigansk,RU,2022-06-08 20:24:13,66.7697,123.3711,60.69,54,68,2.66
117,Torbay,CA,2022-06-08 20:24:13,47.6666,-52.7314,53.28,69,20,11.5
118,Xining,CN,2022-06-08 20:23:47,36.6167,101.7667,49.5,86,100,0.89
119,Hobyo,SO,2022-06-08 20:24:14,5.3505,48.5268,80.51,74,100,21.74
120,Paraiso,CR,2022-06-08 20:24:14,9.8383,-83.8656,68.41,90,100,0.74
121,Chokurdakh,RU,2022-06-08 20:24:14,70.6333,147.9167,38.35,78,99,9.33
122,Long Branch,US,2022-06-08 20:24:15,40.3043,-73.9924,89.29,66,20,6.91
123,Dikson,RU,2022-06-08 20:24:15,73.5069,80.5464,27.46,91,51,3.83
124,Kaitangata,NZ,2022-06-08 20:24:15,-46.2817,169.8464,40.75,92,84,5.66
125,Baruun-Urt,MN,2022-06-08 20:24:16,46.6806,113.2792,53.29,53,90,7.29
126,Bethel,US,2022-06-08 20:24:16,41.3712,-73.414,82.94,45,0,9.22
127,Isangel,VU,2022-06-08 20:24:16,-19.55,169.2667,76.95,71,100,7.56
128,San Quintin,MX,2022-06-08 20:24:16,30.4833,-115.95,70.16,64,4,10.4
129,Leningradskiy,RU,2022-06-08 20:24:17,69.3833,178.4167,36.64,66,3,13.38
130,Bilma,NE,2022-06-08 20:24:17,18.6853,12.9164,92.07,10,98,3.91
131,Klaksvik,FO,2022-06-08 20:24:17,62.2266,-6.589,50.92,75,55,21.09
132,Batagay-Alyta,RU,2022-06-08 20:24:18,67.8006,130.4114,57.51,38,6,3.87
133,Oum Hadjer,TD,2022-06-08 20:24:18,13.2954,19.6966,94.24,26,93,14.34
134,Guerrero Negro,MX,2022-06-08 20:24:18,27.9769,-114.0611,72.77,57,7,14.88
135,Tuatapere,NZ,2022-06-08 20:24:18,-46.1333,167.6833,42.13,92,21,4.16
136,Mbala,ZM,2022-06-08 20:24:19,-8.8402,31.3659,54.41,78,100,9.42
137,Aguimes,ES,2022-06-08 20:24:19,27.9054,-15.4461,70.43,64,20,24.16
138,Kerema,PG,2022-06-08 20:25:19,-7.9631,145.7785,77.47,87,100,4.9
139,Hobart,AU,2022-06-08 20:21:57,-42.8794,147.3294,46.26,69,75,12.66
140,Cumra,TR,2022-06-08 20:25:20,37.5732,32.7745,60.94,72,44,2.28
141,Nurota,UZ,2022-06-08 20:25:20,40.5614,65.6886,83.25,14,9,1.41
142,Ignacio Zaragoza,MX,2022-06-08 20:25:20,28.3833,-107.2167,86.4,15,98,15.77
143,Saint-Joseph,RE,2022-06-08 20:25:21,-21.3667,55.6167,66.58,83,85,11.25
144,Yining,CN,2022-06-08 20:25:21,29.0361,114.5636,72.55,95,95,2.59
145,Ancud,CL,2022-06-08 20:25:42,-41.8697,-73.8203,46.22,79,100,17.25
146,Khatanga,RU,2022-06-08 20:25:43,71.9667,102.5,43.16,80,100,10.33
147,Hermanus,ZA,2022-06-08 20:25:43,-34.4187,19.2345,63.61,69,41,12.8
148,Katima Mulilo,NA,2022-06-08 20:25:43,-17.5,24.2667,52.29,36,0,3.33
149,Rio Grande,BR,2022-06-08 20:20:53,-32.035,-52.0986,68.11,83,63,4.41
150,San Andres,CO,2022-06-08 20:25:44,12.5847,-81.7006,87.82,70,75,5.75
151,Sao Joao Da Barra,BR,2022-06-08 20:25:44,-21.6403,-41.0511,78.89,74,76,7.29
152,Adrar,MR,2022-06-08 20:25:44,20.5022,-10.0711,97.54,12,11,11.03
153,Coahuayana,MX,2022-06-08 20:25:45,18.7333,-103.6833,86.79,56,98,7.7
154,Lake City,US,2022-06-08 20:25:27,30.1897,-82.6393,95.63,46,40,5.75
155,Laurinburg,US,2022-06-08 20:25:45,34.7741,-79.4628,89.56,60,20,9.22
156,Comodoro Rivadavia,AR,2022-06-08 20:25:45,-45.8667,-67.5,51.66,62,40,20.71
157,Taoudenni,ML,2022-06-08 20:25:46,22.6783,-3.9836,103.19,9,1,2.73
158,Saurimo,AO,2022-06-08 20:25:46,-9.6608,20.3916,60.21,47,67,5.66
159,Cherskiy,RU,2022-06-08 20:25:46,68.75,161.3,56.98,52,64,14.09
160,Mataura,NZ,2022-06-08 20:25:47,-46.1927,168.8643,39.47,97,100,3.69
161,Changji,CN,2022-06-08 20:25:47,44.0167,87.3167,74.19,28,0,8.95
162,Iguape,BR,2022-06-08 20:25:47,-24.7081,-47.5553,67.51,87,15,11.92
163,Taltal,CL,2022-06-08 20:25:47,-25.4,-70.4833,61.75,75,27,5.53
164,San Fernando,PH,2022-06-08 20:25:48,15.0286,120.6898,82.13,86,73,2.3
165,Ilo,PE,2022-06-08 20:25:48,-17.6394,-71.3375,63.46,82,100,4.61
166,Chibuto,MZ,2022-06-08 20:25:48,-24.6867,33.5306,59.09,80,0,3.62
167,Kloulklubed,PW,2022-06-08 20:25:49,7.0419,134.2556,73.9,66,91,2.3
168,Saint Anthony,US,2022-06-08 20:25:49,45.0205,-93.218,78.78,28,20,14.97
